,id,Year_pp,Rk_pp,Player_pp,Pos_pp,Age_pp,Tm_pp,G_pp,GS_pp,MP_pp,FG_pp,FGA_pp,FG_PCT_pp,ThrP_pp,ThrPA_pp,ThrP_PCT_pp,TwoP_pp,TwoPA_pp,TwoP_PCT_pp,FT_pp,FTA_pp,FT_PCT_pp,ORB_pp,DRB_pp,TRB_pp,AST_pp,STL_pp,BLK_pp,TOV_pp,PF_pp,PTS_pp,ORtg_pp,DRtg_pp,player_year,PER_adv,TS_PCT_adv,ThrPAr_adv,FTr_adv,ORB_PCT_adv,DRB_PCT_adv,TRB_PCT_adv,AST_PCT_adv,STL_PCT_adv,BLK_PCT_adv,TOV_PCT_adv,USG_PCT_adv,OWS_adv,DWS_adv,WS_adv,WS_per_48_adv,OBPM_adv,DBPM_adv,BPM_adv,VORP_adv,Dist._sho,PCT_of_FGA_by_Dis_2P_sho,PCT_of_FGA_by_Dis_0_3_sho,PCT_of_FGA_by_Dis_3_10_sho,PCT_of_FGA_by_Dis_10_16_sho,PCT_of_FGA_by_Dis_16_3P_sho,PCT_of_FGA_by_Dis_3P_sho,FG_PCT_by_Dis_2P_sho,FG_PCT_by_Dis_0_3_sho,FG_PCT_by_Dis_3_10_sho,FG_PCT_by_Dis_10_16_sho,FG_PCT_by_Dis_16_3P_sho,FG_PCT_by_Dis_3P_sho,PCT_of_FG_Astd_2P_sho,PCT_of_FG_Astd_3P_sho,Dunks_PCT_FGA_sho,Dunks_sho,Corner_3s_PCT_3PA_sho,Corner_3s_PCT_3P_sho,Heave_Att_sho,Heaves_Comp_sho,MP_pg,FG_pg,FGA_pg,ThrP_pg,ThrPA_pg,TwoP_pg,TwoPA_pg,eFG_PCT_pg,FT_pg,FTA_pg,ORB_pg,DRB_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,TOV_pg,PF_pg,PTS_pg,Player
1,A.C.GreeGreen01,2001,152,AC Green,PF,37,MIA,82,1,1411,5.6,12.7,0.444,0,0.2,0,5.6,12.4,0.453,3.1,4.3,0.712,4.2,8,12.2,1.5,1.2,0.3,1.8,4.6,14.3,104,99,152 A.C. Green 2001,11.2,0.492,0.019,0.343,9,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-2.2,0,-2.2,-0.1,11.7,0.981,0.278,0.102,0.164,0.438,0.019,0.453,0.611,0.273,0.321,0.444,0,0.764,0,0.012,4,0.167,0,1,0,17.2,1.8,4,0,0.1,1.8,3.9,0.444,1,1.4,1.3,2.5,3.8,0.5,0.4,0.1,0.5,1.5,4.5,A.C. Green
333,A.J.GuytGuyton01,2002,160,AJ Guyton,PG,23,CHI,45,6,607,7.7,21.3,0.361,4,10.7,0.374,3.7,10.6,0.347,1.9,2.4,0.815,1,2.8,3.8,7.1,0.9,0.6,3.2,2,21.3,97,112,160 A.J. Guyton 2002,11.8,0.477,0.504,0.111,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,0,0,0.1,0.006,1.3,-2.8,-1.6,0.1,19.6,0.496,0.107,0.049,0.066,0.275,0.504,0.347,0.538,0.333,0.438,0.254,0.374,0.357,0.783,0,0,0.195,0.25,1,0,13.5,2,5.4,1,2.7,0.9,2.7,0.455,0.5,0.6,0.3,0.7,1,1.8,0.2,0.2,0.8,0.5,5.4,A.J. Guyton
3030,A.J.PricPrice01,2010,335,AJ Price,PG,23,IND,56,2,865,8.3,20.2,0.41,3.4,9.9,0.345,4.9,10.3,0.472,3.4,4.3,0.8,0.7,4.3,5,6.1,2,0.2,3.4,3,23.4,102,108,335 A.J. Price 2010,14,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2,0.2,13.2,22.7,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3,17.1,0.508,0.172,0.105,0.102,0.13,0.492,0.472,0.607,0.378,0.389,0.435,0.345,0.106,0.767,0,0,0.213,0.243,1,0,15.4,2.6,6.3,1.1,3.1,1.5,3.2,0.494,1.1,1.3,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,A.J. Price
3361,A.J.PricPrice01,2011,339,AJ Price,PG,24,IND,50,0,795,7.3,20.4,0.356,2.6,9.5,0.275,4.7,10.9,0.427,3.4,5.2,0.667,1,3.6,4.6,7.1,1.8,0.1,3.4,3.9,20.6,95,109,339 A.J. Price 2011,10.7,0.454,0.466,0.253,2.3,7.8,5,22.7,1.8,0.1,13,22.7,-0.4,0.7,0.3,0.02,-1.9,-1.1,-2.9,-0.2,18.9,0.534,0.069,0.128,0.163,0.175,0.466,0.427,0.591,0.415,0.423,0.375,0.275,0.11,0.659,0,0,0.04,0.167,4,0,15.9,2.3,6.4,0.8,3,1.5,3.4,0.42,1.1,1.6,0.3,1.1,1.4,2.2,0.6,0,1.1,1.2,6.5,A.J. Price
3700,A.J.PricPrice01,2012,357,AJ Price,PG,25,IND,44,1,568,5.5,16.2,0.339,2.4,8.2,0.295,3.1,8,0.384,2.6,3.3,0.8,1.2,4.5,5.7,8,1.9,0.2,3,2.8,16,100,106,357 A.J. Price 2012,11.5,0.454,0.506,0.201,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.6,-0.5,-1,0.1,19.4,0.494,0.08,0.092,0.121,0.201,0.506,0.384,0.571,0.125,0.524,0.343,0.295,0.212,0.731,0,0,0.091,0.5,2,0,12.9,1.3,4,0.6,2,0.8,2,0.414,0.6,0.8,0.3,1.1,1.4,2,0.5,0,0.7,0.7,3.9,A.J. Price
4064,A.J.PricPrice01,2013,344,AJ Price,PG,26,WAS,57,22,1278,6.6,16.8,0.39,2.9,8.1,0.35,3.7,8.7,0.427,2,2.5,0.79,0.8,3.8,4.6,8.4,1.3,0.1,2.6,3,18,105,107,344 A.J. Price 2013,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.2,-0.4,-0.6,0.5,18.4,0.516,0.092,0.116,0.114,0.194,0.484,0.427,0.553,0.417,0.447,0.363,0.35,0.308,0.771,0,0,0.23,0.391,0,0,22.4,2.8,7.2,1.2,3.5,1.6,3.7,0.475,0.9,1.1,0.4,1.6,2,3.6,0.6,0.1,1.1,1.3,7.7,A.J. Price
2354,AaronBroBrooks01,2008,60,Aaron Brooks,PG,23,HOU,51,0,608,8.1,19.7,0.413,3.1,9.5,0.33,5,10.1,0.491,3.7,4.3,0.857,1.1,3.8,4.9,7.6,1.1,0.4,3.8,6,23.1,107,106,60 Aaron Brooks 2008,13.1,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,0.112,-0.5,0.2,-0.2,0.3,16,0.516,0.276,0.053,0.058,0.129,0.484,0.491,0.548,0.583,0.308,0.414,0.33,0.211,0.917,0.004,1,0.174,0.368,0,0,11.9,1.8,4.4,0.7,2.1,1.1,2.3,0.493,0.8,1,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,Aaron Brooks
2696,AaronBroBrooks01,2009,61,Aaron Brooks,PG,24,HOU,80,35,1998,8.4,20.9,0.404,3,8.2,0.366,5.4,12.6,0.428,4,4.6,0.866,0.9,3.3,4.2,6.3,1.2,0.2,3.3,4,23.8,105,108,61 Aaron Brooks 2009,12.9,0.521,0.395,0.22,2,7,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,0.086,-0.3,-0.6,-0.9,0.6,14.8,0.605,0.269,0.135,0.095,0.106,0.395,0.428,0.469,0.358,0.378,0.458,0.366,0.202,0.664,0.001,1,0.146,0.422,11,0,25,4,9.8,1.4,3.9,2.5,5.9,0.476,1.9,2.2,0.4,1.6,2,3,0.6,0.1,1.6,1.9,11.2,Aaron Brooks
3031,AaronBroBrooks01,2010,62,Aaron Brooks,PG,25,HOU,82,82,2919,10.1,23.3,0.432,3.7,9.2,0.398,6.4,14.1,0.454,4.3,5.2,0.822,0.9,2.8,3.8,7.6,1.2,0.2,4.1,3.5,28,108,112,62 Aaron Brooks 2010,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,15.2,0.606,0.258,0.087,0.099,0.162,0.394,0.454,0.487,0.474,0.439,0.4,0.398,0.21,0.713,0,0,0.143,0.48,5,0,35.6,7,16.2,2.5,6.4,4.5,9.8,0.511,3,3.6,0.7,2,2.6,5.3,0.8,0.2,2.8,2.4,19.6,Aaron Brooks
3362,AaronBroBrooks01,2011,64,Aaron Brooks,PG,26,TOT,59,12,1284,8.7,23.3,0.375,2.8,9.4,0.297,5.9,13.9,0.427,4.9,5.6,0.886,0.8,2.3,3.1,9.2,1.3,0.1,3.9,4.6,25.1,102,113,64 Aaron Brooks 2011,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,0.04,-0.3,-2.7,-3,-0.3,16.4,0.598,0.201,0.135,0.078,0.184,0.402,0.427,0.576,0.291,0.457,0.352,0.297,0.14,0.586,0.002,1,0.178,0.405,9,0,21.8,3.7,9.9,1.2,4,2.5,5.9,0.434,2.1,2.4,0.3,1,1.3,3.9,0.6,0.1,1.7,1.9,10.7,Aaron Brooks
